,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
106668,1920,1,0,2000.0,1320.0,1,450000.0,2.0,2.0,12,15
107292,1925,1,0,1853.0,1444.0,1,449000.0,1.0,2.0,1,10
107424,1850,1,0,791.0,2012.0,1,447300.0,1.0,3.0,11,13
108708,1921,1,1,1031.0,2060.0,2,440000.0,1.0,2.0,5,8
109704,1955,2,0,2200.0,1446.0,2,435000.0,1.0,1.0,3,29
109920,1993,1,0,1704.0,1116.0,1,434000.0,1.0,2.0,11,21
111048,1920,2,0,1775.0,1012.0,2,428000.0,1.0,2.0,5,31
111960,1991,1,0,1800.0,1132.0,1,425000.0,1.0,2.0,12,22
111972,1920,1,0,1860.0,1376.0,1,425000.0,2.0,2.0,11,17
111984,1910,3,0,844.0,2525.0,3,425000.0,1.0,3.0,8,25
112668,1901,2,0,2602.0,1600.0,2,420810.0,1.0,2.0,11,17
113124,2000,1,0,1746.0,1296.0,1,420000.0,1.0,2.0,7,21
113136,1932,1,1,690.0,1277.0,2,420000.0,1.0,2.0,11,30
114276,1925,1,0,2060.0,1288.0,1,415000.0,1.0,2.0,11,1
114600,1999,1,0,1802.0,1260.0,1,413000.0,1.0,2.0,7,14
115200,1923,4,0,2541.0,3116.0,4,410000.0,1.0,2.0,1,9
116532,1960,1,0,1800.0,1296.0,1,402000.0,1.0,2.0,7,10
117660,2000,1,0,1800.0,1296.0,1,400000.0,1.0,2.0,7,26
117672,1920,1,0,2000.0,1378.0,1,400000.0,2.0,2.0,7,10
117684,1920,1,0,1800.0,1920.0,1,400000.0,1.0,2.0,5,5
117696,1920,1,0,837.0,686.0,1,400000.0,1.0,1.0,12,6
119100,1920,3,0,2500.0,3700.0,3,395000.0,2.0,2.0,4,21
120012,1925,1,0,1800.0,1364.0,1,390000.0,1.0,2.0,5,19
120204,1920,2,0,1803.0,2184.0,2,389500.0,1.0,2.0,5,1
120216,1930,1,0,2000.0,1568.0,1,389153.0,1.0,2.5,7,19
120504,1950,1,0,2567.0,1949.0,1,386783.0,1.0,1.0,7,17
121044,1992,1,0,1696.0,1132.0,1,385000.0,1.0,2.0,11,14
121320,1910,2,0,1600.0,1680.0,2,383292.0,1.0,2.0,10,4
121476,1992,1,0,3060.0,1134.0,1,381600.0,1.0,2.0,3,3
122064,1910,2,0,2368.0,1616.0,2,380000.0,1.0,2.0,5,5
123648,1988,1,0,1620.0,1116.0,1,374500.0,1.0,2.0,1,27
123660,1925,1,0,2000.0,1652.0,1,374200.0,1.0,2.5,11,9
124824,1901,3,0,2140.0,3600.0,3,367732.0,1.0,3.0,4,20
126360,1986,1,0,1800.0,1116.0,1,360000.0,1.0,2.0,5,10
126372,1930,2,1,1875.0,2784.0,2,360000.0,1.0,2.0,11,17
126384,1925,2,0,1785.0,969.0,2,360000.0,1.0,1.75,5,8
127032,1901,3,0,2555.0,3240.0,3,356125.0,1.0,2.0,10,30
128880,1899,2,0,2143.0,2100.0,2,350000.0,1.0,2.0,9,13
129792,1930,1,0,2000.0,1526.0,1,345774.0,2.0,2.0,2,8
130032,1950,2,0,4000.0,1490.0,2,345000.0,1.0,1.0,2,24
130944,1920,1,0,2242.0,1168.0,1,340000.0,1.0,2.0,3,23
134004,1930,4,0,2000.0,2870.0,4,325000.0,1.0,2.0,5,23
134508,1920,2,0,4000.0,2640.0,2,323330.0,2.0,2.0,1,25
135108,1920,2,0,2500.0,2760.0,2,320000.0,2.0,2.0,2,10
137784,1910,2,0,2500.0,2310.0,2,305000.0,1.0,2.0,11,21
139272,1930,2,0,1917.0,1748.0,2,300000.0,1.0,2.0,6,16
139284,1940,2,0,1800.0,1950.0,2,300000.0,1.0,2.0,10,5
139296,1901,2,0,1307.0,1472.0,2,300000.0,1.0,2.0,5,2
143040,1925,1,0,4000.0,1245.0,1,280000.0,2.0,2.5,10,26
143316,1930,2,0,1200.0,2000.0,2,279000.0,1.0,2.0,8,28
144084,1910,1,0,2000.0,1340.0,1,275000.0,1.0,2.0,3,23
144096,1999,1,0,1800.0,1332.0,1,275000.0,1.0,2.0,10,20
