,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
2368,1931,6,0,3930.0,6630.0,6,5200000.0,1.0,3.0,5,18
2369,1921,0,1,1600.0,2240.0,1,5200000.0,1.0,2.0,7,20
2371,1899,2,0,3100.0,4126.0,2,5200000.0,1.0,2.0,11,20
2402,1835,2,0,2076.0,2784.0,2,5135000.0,1.0,3.0,5,15
2415,1900,4,1,1697.0,7750.0,5,5100000.0,1.0,5.0,6,8
2418,1960,0,1,19300.0,22000.0,1,5096568.0,1.0,2.0,8,23
2422,2015,1,0,1239.0,4415.0,1,5091250.0,1.0,4.0,2,28
2423,1855,2,0,2500.0,4500.0,2,5090000.0,1.0,3.0,9,19
2424,1950,0,1,2500.0,2500.0,1,5087500.0,1.0,1.0,12,5
2425,1983,0,1,2500.0,2280.0,1,5087500.0,1.0,1.0,12,5
2427,1931,0,1,6550.0,6000.0,1,5075000.0,1.0,1.0,1,17
2499,1931,0,2,6105.0,5278.0,2,5000000.0,1.0,2.0,10,11
2501,1901,2,0,2000.0,2520.0,2,5000000.0,1.0,2.0,10,10
2502,1910,23,1,5805.0,20500.0,24,5000000.0,1.0,4.0,8,22
2503,1930,0,1,20000.0,28400.0,1,5000000.0,1.0,2.0,10,3
2504,1963,0,1,6476.0,6800.0,1,5000000.0,1.0,1.0,4,25
2505,1930,7,0,2100.0,5478.0,7,5000000.0,1.0,4.0,5,18
2506,1982,0,1,10000.0,10000.0,1,5000000.0,1.0,1.0,10,2
2507,1930,1,0,8786.0,3265.0,1,5000000.0,2.0,2.5,12,20
2509,1962,0,1,7255.0,4905.0,1,5000000.0,1.0,1.0,2,17
2510,1926,0,1,12521.0,12500.0,1,5000000.0,1.0,1.0,6,29
2548,2014,1,0,2500.0,5000.0,1,4950000.0,1.0,4.0,3,21
2549,1901,3,0,2160.0,5202.0,3,4950000.0,1.0,4.0,5,25
2578,1901,1,0,2550.0,2200.0,1,4900000.0,1.0,2.0,7,11
2579,1931,8,1,3000.0,8613.0,9,4900000.0,1.0,4.0,9,18
2581,2007,27,0,12000.0,62142.0,27,4900000.0,1.0,6.0,2,10
2582,1899,3,1,1513.0,5775.0,4,4900000.0,1.0,3.0,5,18
2598,1901,2,0,1950.0,4008.0,2,4875000.0,1.0,3.0,5,19
2613,1913,20,0,5867.0,12000.0,20,4850000.0,1.0,4.0,9,20
2614,1915,1,0,2250.0,2529.0,1,4850000.0,1.0,3.0,10,2
2619,1931,64,0,20000.0,36000.0,64,4830000.0,2.0,4.0,5,16
2643,1900,2,1,1870.0,7168.0,3,4800000.0,1.0,4.0,4,20
2651,1901,1,0,2693.0,4000.0,1,4795000.0,1.0,3.0,2,17
2657,1901,2,0,2250.0,3360.0,2,4775000.0,1.0,3.0,9,15
2658,1931,24,0,5500.0,17280.0,24,4775000.0,1.0,4.0,10,26
2676,1920,1,0,4000.0,2961.0,1,4750000.0,2.0,2.5,10,31
2677,1920,6,0,2863.0,5000.0,6,4750000.0,2.0,3.0,7,14
2686,1905,26,0,5875.0,27126.0,26,4726360.0,1.0,6.0,6,30
2718,1910,0,2,1400.0,2200.0,2,4700000.0,1.0,2.0,9,26
2726,2015,1,0,1183.0,4283.0,1,4692431.0,1.0,4.0,3,8
2729,1916,2,1,1251.0,2565.0,3,4680000.0,1.0,3.0,8,2
2749,2015,1,0,1183.0,4283.0,1,4650000.0,1.0,4.0,2,22
2750,1931,0,3,4000.0,7200.0,3,4650000.0,1.0,2.0,7,13
2751,2015,1,0,1250.0,4470.0,1,4650000.0,1.0,0.0,10,6
2798,2015,1,0,1183.0,4283.0,1,4600000.0,1.0,4.0,2,21
2799,1900,10,0,2313.0,6000.0,10,4600000.0,1.0,4.0,6,20
2800,1920,2,0,2625.0,1874.0,2,4600000.0,2.0,2.0,3,23
2801,1899,2,0,2000.0,3600.0,2,4600000.0,1.0,3.0,6,15
2802,1930,10,0,2500.0,4050.0,10,4600000.0,2.0,3.0,7,18
2822,1910,5,0,2200.0,4620.0,5,4550000.0,1.0,4.0,8,16
2823,1901,2,0,2000.0,3600.0,2,4550000.0,1.0,3.0,9,7
2828,1930,3,0,2500.0,6250.0,3,4541500.0,1.0,3.0,7,24
2836,1954,0,1,12075.0,7200.0,1,4530000.0,1.0,1.0,11,3
2898,1917,0,1,5000.0,7400.0,1,4500000.0,1.0,3.0,4,6
2899,1920,2,1,1500.0,3260.0,3,4500000.0,1.0,3.0,11,30
2900,1899,1,0,1337.0,2040.0,1,4500000.0,1.0,3.0,5,12
2901,1899,3,0,2300.0,2214.0,3,4500000.0,1.0,3.0,5,17
2904,1910,2,0,2500.0,0.0,2,4500000.0,2.0,2.0,2,7
2915,1910,2,0,2000.0,4000.0,2,4495000.0,1.0,3.0,1,6
2924,1931,8,0,3117.0,10224.0,8,4457142.0,1.0,4.0,5,18
2932,1900,4,0,2500.0,3974.0,4,4450000.0,1.0,3.0,7,7
2964,2015,1,0,1211.0,4289.0,1,4400000.0,1.0,4.0,2,22
2965,1940,1,0,9354.0,3963.0,1,4400000.0,1.0,2.0,9,5
2966,1899,2,0,1960.0,3656.0,2,4400000.0,1.0,3.0,6,30
2969,1920,0,1,10500.0,4030.0,1,4400000.0,1.0,2.0,2,14
2970,1901,3,0,1309.0,3555.0,3,4400000.0,1.0,4.0,1,18
2987,1899,2,0,2375.0,3500.0,2,4375000.0,1.0,3.0,12,27
2992,1900,2,0,2000.0,3200.0,2,4361000.0,1.0,3.0,11,1
3006,1899,2,0,1667.0,2880.0,2,4350000.0,1.0,3.0,8,29
3007,1910,0,7,1867.0,5004.0,7,4350000.0,1.0,3.0,5,1
3057,1972,0,1,7200.0,20000.0,1,4300000.0,1.0,3.0,8,15
3058,1915,2,1,5000.0,5230.0,3,4300000.0,2.0,3.0,10,25
3059,1920,3,0,5017.0,4389.0,3,4300000.0,2.0,2.75,12,26
3061,1899,2,0,2100.0,4296.0,2,4300000.0,1.0,3.0,7,12
3104,1920,4,0,2100.0,5208.0,4,4250000.0,1.0,4.0,4,13
3105,1905,12,1,4167.0,14800.0,13,4250000.0,1.0,4.0,12,12
3159,1910,16,0,4000.0,14240.0,16,4200000.0,1.0,4.0,5,18
3160,1900,20,0,6000.0,16380.0,20,4200000.0,1.0,4.0,5,18
3161,1905,0,1,2425.0,4560.0,1,4200000.0,1.0,3.0,9,21
3162,1925,17,3,4200.0,15200.0,20,4200000.0,1.0,4.0,9,14
3163,1997,1,0,4820.0,6660.0,1,4200000.0,2.0,2.75,4,28
3165,1901,1,0,1726.0,2730.0,1,4200000.0,1.0,3.0,8,21
3166,1920,3,1,1580.0,4641.0,4,4200000.0,1.0,4.0,2,23
3167,1910,4,0,2060.0,3708.0,4,4200000.0,2.0,4.0,3,17
3180,2016,1,0,1900.0,1634.0,1,4181666.0,0.0,2.0,12,20
3203,1899,1,0,1045.0,2757.0,1,4150000.0,1.0,4.0,3,29
3204,1900,8,0,2500.0,7000.0,8,4150000.0,1.0,4.0,11,2
3219,1926,19,0,4000.0,11200.0,19,4125000.0,1.0,4.0,11,30
3266,1899,2,0,2500.0,3900.0,2,4100000.0,1.0,2.0,6,5
3267,1903,16,0,4000.0,16820.0,16,4100000.0,1.0,4.0,6,21
3268,2008,7,0,3900.0,9100.0,7,4100000.0,1.0,6.0,2,16
3269,1901,2,0,1680.0,4420.0,2,4100000.0,1.0,3.5,9,1
