,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
46360,1905,1,0,2333,1312,1,815000,2,2,3,6
46361,1910,1,0,2200,1256,1,815000,2,2,2,3
46362,1930,1,0,2000,1116,1,815000,2,2,6,12
46364,1930,1,0,1600,1400,1,815000,1,2,1,3
46366,1940,2,0,2000,1631,2,815000,1,1,8,2
46367,1935,2,0,2000,1955,2,815000,1,2,4,5
46368,1930,2,0,2917,1840,2,815000,2,2,7,5
46369,1940,2,0,2200,1961,2,815000,1,1,12,18
46478,1965,4,0,1920,3600,4,814600,1,3,1,5
46544,1905,3,0,2000,3300,3,813020,1,3,11,8
46571,1910,3,0,2000,3300,3,812500,1,2,4,18
46625,1899,3,0,2200,2550,3,810500,1,3,10,27
46833,1925,2,0,2000,2016,2,810000,1,2,3,24
46835,1920,2,0,2300,1584,2,810000,1,2,12,20
46838,1930,1,0,1783,1170,1,810000,2,2,2,17
46839,2004,3,0,2000,3210,3,810000,1,3,9,28
46840,1920,1,0,2250,1548,1,810000,1,2,7,19
46841,1925,1,0,2667,1408,1,810000,1,2,2,28
46843,1910,2,0,4000,1748,2,810000,2,2.75,8,28
46845,1931,0,0,2500,3105,0,810000,1,3,8,4
46848,1930,3,0,2900,2320,3,810000,2,2,10,13
46849,1930,2,0,1800,2106,2,810000,2,2,12,13
46850,1935,1,0,2000,1664,1,810000,2,2,7,20
46851,1925,1,0,1800,1572,1,810000,1,2,9,26
46852,1901,2,0,1269,1352,2,810000,1,2,5,15
46853,2002,2,0,2664,2200,2,810000,2,2.5,9,11
46854,1910,2,0,1575,1719,2,810000,1,3,12,22
46855,1930,1,0,1925,1456,1,810000,2,2,7,10
46859,1920,2,0,2003,1206,2,810000,1,2,9,25
46999,1940,2,0,1710,1732,2,808500,1,2,5,11
47186,1986,2,0,3600,2236,2,805000,1,2,8,16
47187,1899,2,0,2143,3040,2,805000,1,3,10,27
47189,1901,2,0,2450,2320,2,805000,1,2,6,7
47190,1901,2,0,3000,2080,2,805000,1,2,10,19
47191,1930,2,0,1933,1880,2,805000,1,2,11,2
47193,1925,1,0,2000,1280,1,805000,2,2.5,10,20
47195,1931,4,0,2750,3120,4,805000,2,2,8,31
47196,1915,1,0,2400,1257,1,805000,2,2,7,28
47197,1930,1,0,2138,1785,1,805000,2,2,6,9
47198,1930,2,0,2183,1653,2,805000,1,1,4,20
47336,1915,2,0,1250,1689,2,801899,1,2,2,13
47374,1901,2,0,1600,1784,2,800300,1,2,11,7
47376,1925,2,0,3900,2308,2,800002,2,2,11,15
48117,1930,1,0,1547,1428,1,800000,1,2,2,27
48118,1930,1,0,3760,2464,1,800000,1,2.75,11,30
48119,1925,1,0,923,910,1,800000,1,2,10,11
48120,1910,2,0,1762,2660,2,800000,1,2,4,5
48121,1931,2,1,1900,2580,3,800000,1,2,8,8
48122,1920,3,0,2600,1890,3,800000,1,2,9,21
48123,1899,2,0,1875,2643,2,800000,1,2,10,3
48124,1931,2,1,1500,3300,3,800000,1,3,11,22
48125,1899,2,0,1407,2358,2,800000,1,2,2,14
48126,1901,2,0,2500,1585,2,800000,1,2,3,8
48127,1901,3,0,1783,2139,3,800000,1,2,9,19
48129,1920,1,0,2633,1296,1,800000,2,2,12,28
48130,1965,1,0,6000,1272,1,800000,1,1,10,6
48133,1910,2,0,2003,2064,2,800000,1,2,8,3
48139,1930,4,0,2842,3800,4,800000,2,2,3,9
48142,1901,2,0,2000,3324,2,800000,1,2,1,11
48143,1910,2,1,1600,3200,3,800000,1,3,6,9
48144,1901,2,0,2000,3000,2,800000,1,2,10,16
48145,1910,2,0,1983,2850,2,800000,1,3,11,30
48146,1920,2,0,2000,3000,2,800000,1,2,2,14
48147,1920,2,0,2000,3300,2,800000,1,2,11,9
48148,1905,3,0,1900,2565,3,800000,1,2,12,29
48149,1915,3,0,1900,2850,3,800000,1,2,10,4
48150,1920,3,0,2025,2733,3,800000,1,2,2,27
48151,1925,3,0,1792,2418,3,800000,1,2,1,27
48158,1901,2,0,1667,2630,2,800000,1,3,5,25
48159,1920,2,0,2679,1680,2,800000,1,2,11,10
48160,1910,2,0,2427,3021,2,800000,1,2,2,16
48161,1901,3,0,1950,2812,3,800000,1,2,8,11
48163,1910,2,0,2850,1895,2,800000,1,2.5,4,21
48164,1920,2,1,1916,3600,3,800000,1,3,12,14
48165,1925,1,0,1800,1288,1,800000,2,2,12,6
48166,1915,1,0,1800,1296,1,800000,2,2,11,17
48167,1920,1,0,3138,1600,1,800000,1,2,10,20
48168,1950,2,0,2674,2080,2,800000,1,2,8,23
48169,2004,2,0,3173,2950,2,800000,1,2,9,26
48170,1930,3,0,2000,3840,3,800000,1,3,11,20
48171,1915,1,0,2020,864,1,800000,1,2,3,27
48172,1899,2,0,1800,3324,2,800000,1,2,1,19
48173,1901,3,0,2500,2880,3,800000,1,3,12,5
48174,1933,3,0,2050,2200,3,800000,1,3,2,23
48176,1925,1,0,2000,1360,1,800000,2,2.5,4,5
48177,1925,1,0,2000,1352,1,800000,2,2,3,27
48178,1915,2,0,2050,2004,2,800000,1,2,2,15
48180,1910,3,0,1900,3240,3,800000,1,2,12,18
48181,1950,3,0,2000,2818,3,800000,1,2,8,2
48184,1915,1,0,2000,730,1,800000,1,1,8,10
48187,1931,5,1,2000,3480,6,800000,1,3,6,14
48193,1935,1,0,2138,1476,1,800000,1,2,10,23
48194,1920,1,0,2000,1344,1,800000,2,2,3,2
48195,1930,1,0,2000,1590,1,800000,2,2,10,3
48196,1920,1,0,2856,1136,1,800000,2,2.75,1,12
48197,1930,1,0,2600,1632,1,800000,2,2,7,17
48198,1930,2,0,2000,1805,2,800000,1,2,7,14
48199,1925,1,0,2000,1482,1,800000,2,2,5,16
48200,1899,2,0,1667,2001,2,800000,1,2,10,6
48201,1899,2,0,1875,2364,2,800000,1,2,11,16
48202,1901,3,0,2000,2700,3,800000,1,2,10,25
48203,1899,3,0,2555,3162,3,800000,1,3,2,28
